date,open,high,low,close,volume,Name,range,JimDeMint Vader Sentiment Score
2017-04-21,230.8553,230.9142,229.7562,230.2076,110389847,SPY,1.157999999999987,-0.5994
2017-04-19,230.1389,230.5609,228.824,229.0791,68699868,SPY,1.7368999999999915,0.4767
2017-04-18,229.3539,230.1095,228.7258,229.5011,83225821,SPY,1.3837000000000046,0.23263333333333333
2017-04-17,228.7553,230.188,228.5296,230.188,68405367,SPY,1.6584000000000003,0.0
2017-04-12,230.3548,230.5707,229.4029,229.6581,81864436,SPY,1.1677999999999997,0.51005
2017-04-11,230.5118,230.7866,228.981,230.6688,88045276,SPY,1.8055999999999983,0.39810000000000006
2017-04-10,230.9632,231.8415,230.345,230.9436,67615302,SPY,1.4964999999999975,0.5865199999999999
2017-04-07,230.7572,231.5913,230.2567,230.8062,74386480,SPY,1.3345999999999947,0.4694900000000001
2017-04-06,230.5511,231.6305,230.0457,231.0417,69135757,SPY,1.5848000000000013,-0.7063
2017-04-03,231.395,231.6207,229.5403,230.9338,85546486,SPY,2.0803999999999974,-0.3982
2017-03-30,231.0712,232.1016,230.8749,231.8759,56737890,SPY,1.226699999999994,-0.01150000000000003
2017-03-29,230.6001,231.4048,230.3401,231.1399,61950354,SPY,1.0646999999999878,0.13396666666666665
2017-03-28,228.9123,231.4048,228.7847,230.924,93483915,SPY,2.620100000000008,-0.0172
2017-03-27,227.5973,229.5501,227.2833,229.2557,87454452,SPY,2.2667999999999893,0.0
2017-03-24,230.0015,230.6492,228.6081,229.4913,112504853,SPY,2.0411,-0.07955
2017-03-23,229.6286,230.9436,229.2361,229.6581,100410277,SPY,1.7075000000000102,0.5277999999999999
2017-03-22,229.4029,230.2272,228.6964,229.9034,97569204,SPY,1.5307999999999993,-0.022149999999999975
2017-03-21,233.0338,233.1712,229.2165,229.3637,131809275,SPY,3.9547000000000025,0.19476666666666667
2017-03-20,232.602,232.9259,231.9053,232.3469,52536979,SPY,1.0206000000000017,0.62885
2017-03-17,233.3086,233.5245,232.602,232.602,89002111,SPY,0.9224999999999852,-0.4909
2017-03-16,233.6267,233.7146,232.6399,233.0112,78343951,SPY,1.0746999999999787,-0.34126666666666666
2017-03-15,232.1122,233.9491,231.8484,233.4704,96081750,SPY,2.100699999999989,-0.4158
2017-03-14,231.741,231.7996,230.7737,231.4674,59880778,SPY,1.0259000000000071,0.43590000000000007
2017-03-13,232.1709,232.4054,231.7996,232.3565,57256824,SPY,0.6057999999999879,0.05365000000000002
2017-03-10,232.5128,232.5617,231.1645,232.2393,81991652,SPY,1.397199999999998,-0.07655
2017-03-09,231.272,231.7996,230.334,231.4283,90683918,SPY,1.465599999999995,0.0
2017-03-08,231.8973,232.1904,230.9788,231.1352,78168795,SPY,1.2116000000000042,0.875
2017-03-07,231.9168,232.3174,231.3306,231.5651,65103737,SPY,0.9867999999999881,0.45295
2017-03-06,232.0536,232.6594,231.5749,232.2588,55391533,SPY,1.0844999999999914,0.0
2017-03-03,232.7083,233.1382,232.2784,232.9525,81974300,SPY,0.859800000000007,-0.335475
2017-03-02,234.0664,234.0762,232.7473,232.806,70245978,SPY,1.3289000000000044,0.45945
2017-03-01,232.9232,234.809,232.9037,234.2813,149158170,SPY,1.905300000000011,0.134675
2017-02-27,231.2133,231.868,230.93,231.6726,56515440,SPY,0.9379999999999882,-0.507
2017-02-24,230.0604,231.363,230.0116,231.3111,82381612,SPY,1.3514000000000124,0.0
2017-02-23,231.4478,231.4674,230.1581,231.0179,74615902,SPY,1.3093000000000075,0.18948571428571429
2017-02-22,230.6076,231.1156,230.4219,230.8616,62115185,SPY,0.6937000000000069,0.5106
2017-02-21,230.119,231.2622,230.1093,231.0668,88946051,SPY,1.1529000000000167,-0.09260000000000002
2017-02-17,228.585,229.6989,228.5655,229.6989,77204104,SPY,1.133400000000023,0.149
2017-02-16,229.5719,229.7624,228.4873,229.3374,84722437,SPY,1.275100000000009,0.190775
2017-02-15,228.0965,229.7477,228.0379,229.5328,86785826,SPY,1.7098000000000013,0.42460000000000003
